date,site_code,sku,quantity
2020-01-01,PE114,1001,6
2020-01-01,PE114,1002,2
2020-01-01,PE114,1003,60
2020-01-01,PE114,1004,3
2020-01-01,EC115,1000,6
2020-01-01,EC115,1001,28
2020-01-01,EC115,1002,60
2020-01-01,EC115,1004,31
2020-01-01,CO116,1000,39
2020-01-01,CO116,1001,26
2020-01-01,CO116,1002,8
2020-01-01,CO116,1003,46
2020-01-01,CO116,1004,40
2020-01-01,MX117,1000,6
2020-01-01,MX117,1001,5
2020-01-01,MX117,1002,17
2020-01-01,MX117,1003,23
2020-01-01,MX117,1004,6
2020-01-01,EC118,1000,27
2020-01-01,EC118,1002,22
2020-01-01,EC118,1003,21
2020-01-01,EC118,1004,28
2020-01-01,CA119,1000,11
2020-01-01,CA119,1002,10
2020-01-01,CA119,1003,5
2020-01-01,CA119,1004,8
2020-01-02,US100,1000,30
2020-01-02,US100,1001,39
2020-01-02,US100,1002,120
2020-01-02,US100,1003,114
2020-01-02,US100,1004,76
2020-01-02,PE101,1000,46
2020-01-02,PE101,1001,16
2020-01-02,PE101,1002,42
2020-01-02,PE101,1003,43
2020-01-02,PE101,1004,10
2020-01-02,CO102,1000,48
2020-01-02,CO102,1001,30
2020-01-02,CO102,1002,7
2020-01-02,CO102,1003,36
2020-01-02,CO102,1004,15
2020-01-02,CO103,1000,29
2020-01-02,CO103,1001,13
2020-01-02,CO103,1002,4
2020-01-02,CO103,1003,17
2020-01-02,CO103,1004,24
2020-01-02,CO104,1000,42
2020-01-02,CO104,1001,18
2020-01-02,CO104,1002,14
2020-01-02,CO104,1003,40
2020-01-02,CO104,1004,32
2020-01-02,CA105,1000,37
2020-01-02,CA105,1001,12
2020-01-02,CA105,1002,18
2020-01-02,CA105,1003,49
2020-01-02,CA105,1004,81
2020-01-02,MX106,1000,18
2020-01-02,MX106,1001,24
2020-01-02,MX106,1002,4
2020-01-02,MX106,1003,11
2020-01-02,MX106,1004,30
2020-01-02,MX107,1000,10
2020-01-02,MX107,1001,3
2020-01-02,MX107,1002,33
2020-01-02,MX107,1003,12
2020-01-02,MX107,1004,20
2020-01-02,CO108,1000,32
2020-01-02,CO108,1001,27
2020-01-02,CO108,1002,53
2020-01-02,CO108,1003,51
2020-01-02,CO108,1004,5
2020-01-02,EC109,1000,14
2020-01-02,EC109,1001,28
2020-01-02,EC109,1002,59
2020-01-02,EC109,1003,2
2020-01-02,EC109,1004,42
2020-01-02,EC110,1000,3
2020-01-02,EC110,1001,23
2020-01-02,EC110,1002,47
2020-01-02,EC110,1003,19
2020-01-02,EC110,1004,29
2020-01-02,CA111,1000,7
2020-01-02,CA111,1001,18
2020-01-02,CA111,1002,14
2020-01-02,CA111,1003,3
2020-01-02,CA111,1004,34
2020-01-02,CO112,1000,16
2020-01-02,CO112,1001,4
2020-01-02,CO112,1002,33
2020-01-02,CO112,1003,10
2020-01-02,CO112,1004,5
2020-01-02,CO113,1000,12
2020-01-02,CO113,1002,5
2020-01-02,CO113,1003,10
2020-01-02,CO113,1004,26
2020-01-02,PE114,1000,37
2020-01-02,PE114,1001,14
2020-01-02,PE114,1002,7
2020-01-02,PE114,1003,30
2020-01-02,PE114,1004,48
2020-01-02,EC115,1000,15
2020-01-02,EC115,1001,14
2020-01-02,EC115,1002,31
2020-01-02,EC115,1003,15
2020-01-02,EC115,1004,37
2020-01-02,CO116,1000,27
2020-01-02,CO116,1001,24
2020-01-02,CO116,1002,44
2020-01-02,CO116,1003,14
2020-01-02,CO116,1004,27
2020-01-02,MX117,1000,25
2020-01-02,MX117,1001,11
2020-01-02,MX117,1002,41
2020-01-02,MX117,1003,10
2020-01-02,MX117,1004,9
2020-01-02,EC118,1000,26
2020-01-02,EC118,1001,13
2020-01-02,EC118,1002,30
2020-01-02,EC118,1003,35
2020-01-02,EC118,1004,29
2020-01-02,CA119,1000,29
2020-01-02,CA119,1001,15
2020-01-02,CA119,1002,39
2020-01-02,CA119,1003,16
2020-01-02,CA119,1004,44
2020-01-03,US100,1000,75
2020-01-03,US100,1001,81
2020-01-03,US100,1002,152
2020-01-03,US100,1003,18
2020-01-03,US100,1004,88
2020-01-03,PE101,1000,62
2020-01-03,PE101,1001,7
2020-01-03,PE101,1002,55
2020-01-03,PE101,1003,13
2020-01-03,PE101,1004,99
2020-01-03,CO102,1000,17
2020-01-03,CO102,1001,24
2020-01-03,CO102,1002,64
2020-01-03,CO102,1003,57
2020-01-03,CO102,1004,63
2020-01-03,CO103,1000,7
2020-01-03,CO103,1001,22
2020-01-03,CO103,1002,27
2020-01-03,CO103,1003,25
2020-01-03,CO103,1004,10
2020-01-03,CO104,1000,46
2020-01-03,CO104,1001,27
2020-01-03,CO104,1002,42
2020-01-03,CO104,1003,46
2020-01-03,CO104,1004,19
2020-01-03,CA105,1000,14
2020-01-03,CA105,1001,40
2020-01-03,CA105,1002,90
2020-01-03,CA105,1003,61
2020-01-03,MX106,1000,39
2020-01-03,MX106,1001,10
2020-01-03,MX106,1002,48
2020-01-03,MX106,1003,5
2020-01-03,MX106,1004,17
2020-01-03,MX107,1000,2
2020-01-03,MX107,1001,19
2020-01-03,MX107,1002,45
2020-01-03,MX107,1003,24
2020-01-03,MX107,1004,27
2020-01-03,CO108,1000,29
2020-01-03,CO108,1001,6
2020-01-03,CO108,1002,1
2020-01-03,CO108,1003,41
2020-01-03,CO108,1004,9
2020-01-03,EC109,1000,23
2020-01-03,EC109,1001,23
2020-01-03,EC109,1002,56
2020-01-03,EC109,1004,74
2020-01-03,EC110,1000,9
2020-01-03,EC110,1001,19
2020-01-03,EC110,1002,62
2020-01-03,EC110,1003,16
2020-01-03,EC110,1004,65
2020-01-03,CA111,1000,55
2020-01-03,CA111,1001,37
2020-01-03,CA111,1002,41
2020-01-03,CA111,1003,65
2020-01-03,CA111,1004,113
2020-01-03,CO112,1000,4
2020-01-03,CO112,1002,24
2020-01-03,CO112,1003,3
2020-01-03,CO112,1004,29
2020-01-03,CO113,1000,26
2020-01-03,CO113,1001,8
2020-01-03,CO113,1002,29
2020-01-03,CO113,1003,37
2020-01-03,CO113,1004,42
2020-01-03,PE114,1000,22
2020-01-03,PE114,1001,6
2020-01-03,PE114,1002,61
2020-01-03,PE114,1003,64
2020-01-03,PE114,1004,75
2020-01-03,EC115,1000,36
2020-01-03,EC115,1001,13
2020-01-03,EC115,1002,29
2020-01-03,EC115,1003,47
2020-01-03,EC115,1004,59
2020-01-03,CO116,1000,14
2020-01-03,CO116,1001,22
2020-01-03,CO116,1002,32
2020-01-03,CO116,1003,26
2020-01-03,CO116,1004,28
2020-01-03,MX117,1000,5
2020-01-03,MX117,1002,21
2020-01-03,MX117,1003,29
2020-01-03,MX117,1004,41
2020-01-03,EC118,1000,29
2020-01-03,EC118,1001,29
2020-01-03,EC118,1002,46
2020-01-03,EC118,1003,32
2020-01-03,EC118,1004,32
2020-01-03,CA119,1000,11
2020-01-03,CA119,1001,12
2020-01-03,CA119,1002,43
2020-01-03,CA119,1003,35
2020-01-03,CA119,1004,7
2020-01-04,US100,1000,49
2020-01-04,US100,1001,11
2020-01-04,US100,1002,36
2020-01-04,US100,1003,127
2020-01-04,US100,1004,136
2020-01-04,PE101,1000,55
2020-01-04,PE101,1001,27
2020-01-04,PE101,1002,104
2020-01-04,PE101,1003,64
2020-01-04,PE101,1004,102
2020-01-04,CO102,1000,81
2020-01-04,CO102,1001,24
2020-01-04,CO102,1002,83
2020-01-04,CO102,1003,27
2020-01-04,CO102,1004,72
2020-01-04,CO103,1000,7
2020-01-04,CO103,1001,16
2020-01-04,CO103,1003,32
2020-01-04,CO103,1004,63
2020-01-04,CO104,1000,40
2020-01-04,CO104,1001,36
2020-01-04,CO104,1002,28
2020-01-04,CO104,1003,5
2020-01-04,CO104,1004,82
2020-01-04,CA105,1000,53
2020-01-04,CA105,1001,44
2020-01-04,CA105,1002,96
2020-01-04,CA105,1003,34
2020-01-04,CA105,1004,100
2020-01-04,MX106,1000,6
2020-01-04,MX106,1001,25
2020-01-04,MX106,1002,53
2020-01-04,MX106,1003,15
2020-01-04,MX106,1004,56
2020-01-04,MX107,1000,32
2020-01-04,MX107,1001,23
2020-01-04,MX107,1002,30
2020-01-04,MX107,1003,15
2020-01-04,MX107,1004,29
2020-01-04,CO108,1000,30
2020-01-04,CO108,1001,28
2020-01-04,CO108,1003,10
2020-01-04,CO108,1004,72
2020-01-04,EC109,1000,65
2020-01-04,EC109,1001,23
2020-01-04,EC109,1002,40
2020-01-04,EC109,1003,50
2020-01-04,EC109,1004,69
2020-01-04,EC110,1000,40
2020-01-04,EC110,1001,43
2020-01-04,EC110,1002,11
2020-01-04,EC110,1003,87
2020-01-04,EC110,1004,68
2020-01-04,CA111,1000,30
2020-01-04,CA111,1001,88
2020-01-04,CA111,1002,88
2020-01-04,CA111,1003,75
2020-01-04,CA111,1004,206
2020-01-04,CO112,1000,28
2020-01-04,CO112,1001,14
2020-01-04,CO112,1002,13
2020-01-04,CO112,1003,37
2020-01-04,CO112,1004,43
2020-01-04,CO113,1000,40
2020-01-04,CO113,1001,19
2020-01-04,CO113,1002,9
2020-01-04,CO113,1003,2
2020-01-04,CO113,1004,47
2020-01-04,PE114,1000,6
2020-01-04,PE114,1001,14
2020-01-04,PE114,1002,8
2020-01-04,PE114,1003,82
2020-01-04,PE114,1004,30
2020-01-04,EC115,1000,6
2020-01-04,EC115,1001,22
2020-01-04,EC115,1002,25
2020-01-04,EC115,1003,74
2020-01-04,EC115,1004,15
2020-01-04,CO116,1000,7
2020-01-04,CO116,1001,15
2020-01-04,CO116,1002,3
2020-01-04,CO116,1003,43
2020-01-04,CO116,1004,82
2020-01-04,MX117,1000,31
2020-01-04,MX117,1001,9
2020-01-04,MX117,1002,15
2020-01-04,MX117,1003,24
2020-01-04,MX117,1004,31
2020-01-04,EC118,1000,27
2020-01-04,EC118,1001,15
2020-01-04,EC118,1002,7
2020-01-04,EC118,1003,44
2020-01-04,EC118,1004,65
2020-01-04,CA119,1000,13
2020-01-04,CA119,1001,15
2020-01-04,CA119,1002,52
2020-01-04,CA119,1003,3
2020-01-04,CA119,1004,54
2020-01-05,US100,1000,73
2020-01-05,US100,1001,41
2020-01-05,US100,1002,61
2020-01-05,US100,1003,97
2020-01-05,US100,1004,36
2020-01-05,PE101,1000,30
2020-01-05,PE101,1001,39
2020-01-05,PE101,1002,93
2020-01-05,PE101,1003,56
2020-01-05,PE101,1004,65
2020-01-05,CO102,1000,38
2020-01-05,CO102,1001,12
2020-01-05,CO102,1002,110
2020-01-05,CO102,1003,69
2020-01-05,CO102,1004,86
2020-01-05,CO103,1000,32
2020-01-05,CO103,1001,18
2020-01-05,CO103,1002,48
2020-01-05,CO103,1003,14
2020-01-05,CO103,1004,17
2020-01-05,CO104,1000,33
2020-01-05,CO104,1001,22
2020-01-05,CO104,1002,16
2020-01-05,CO104,1003,43
2020-01-05,CO104,1004,32
2020-01-05,CA105,1000,73
2020-01-05,CA105,1001,39
2020-01-05,CA105,1002,2
2020-01-05,CA105,1003,79
2020-01-05,CA105,1004,30
2020-01-05,MX106,1000,22
2020-01-05,MX106,1001,19
2020-01-05,MX106,1002,75
2020-01-05,MX106,1003,69
2020-01-05,MX106,1004,15
2020-01-05,MX107,1000,10
2020-01-05,MX107,1001,15
2020-01-05,MX107,1002,27
2020-01-05,MX107,1003,14
2020-01-05,MX107,1004,19
2020-01-05,CO108,1000,15
2020-01-05,CO108,1001,33
2020-01-05,CO108,1003,68
2020-01-05,CO108,1004,47
2020-01-05,EC109,1000,11
2020-01-05,EC109,1001,12
2020-01-05,EC109,1002,11
2020-01-05,EC109,1003,67
2020-01-05,EC109,1004,43
2020-01-05,EC110,1000,11
2020-01-05,EC110,1001,46
2020-01-05,EC110,1002,69
2020-01-05,EC110,1003,4
2020-01-05,EC110,1004,85
2020-01-05,CA111,1001,41
2020-01-05,CA111,1002,144
2020-01-05,CA111,1003,96
2020-01-05,CA111,1004,143
2020-01-05,CO112,1000,14
2020-01-05,CO112,1001,20
2020-01-05,CO112,1004,39
2020-01-05,CO113,1000,32
2020-01-05,CO113,1002,15
2020-01-05,CO113,1003,4
2020-01-05,CO113,1004,11
2020-01-05,PE114,1000,11
2020-01-05,PE114,1001,41
2020-01-05,PE114,1002,59
2020-01-05,PE114,1003,31
2020-01-05,PE114,1004,39
2020-01-05,EC115,1000,41
2020-01-05,EC115,1001,7
2020-01-05,EC115,1002,44
2020-01-05,EC115,1003,17
2020-01-05,EC115,1004,77
2020-01-05,CO116,1000,52
2020-01-05,CO116,1001,30
2020-01-05,CO116,1002,73
2020-01-05,CO116,1003,42
2020-01-05,CO116,1004,76
2020-01-05,MX117,1000,10
2020-01-05,MX117,1002,6
2020-01-05,MX117,1003,11
2020-01-05,MX117,1004,46
2020-01-05,EC118,1000,39
2020-01-05,EC118,1001,2
2020-01-05,EC118,1002,29
2020-01-05,EC118,1003,43
2020-01-05,EC118,1004,60
2020-01-05,CA119,1000,12
2020-01-05,CA119,1001,20
2020-01-05,CA119,1002,2
2020-01-05,CA119,1003,13
2020-01-05,CA119,1004,27
2020-01-06,US100,1000,79
2020-01-06,US100,1001,36
2020-01-06,US100,1002,29
2020-01-06,US100,1003,83
2020-01-06,US100,1004,41
2020-01-06,PE101,1000,46
2020-01-06,PE101,1001,23
2020-01-06,PE101,1002,17
2020-01-06,PE101,1003,27
2020-01-06,PE101,1004,57
2020-01-06,CO102,1001,12
2020-01-06,CO102,1002,33
2020-01-06,CO102,1003,42
2020-01-06,CO102,1004,71
2020-01-06,CO103,1000,6
2020-01-06,CO103,1001,5
2020-01-06,CO103,1002,4
2020-01-06,CO103,1003,9
2020-01-06,CO103,1004,16
2020-01-06,CO104,1000,26
2020-01-06,CO104,1001,16
2020-01-06,CO104,1002,49
2020-01-06,CO104,1003,32
2020-01-06,CO104,1004,17
2020-01-06,CA105,1000,51
2020-01-06,CA105,1002,9
2020-01-06,CA105,1003,21
2020-01-06,CA105,1004,82
2020-01-06,MX106,1000,30
2020-01-06,MX106,1001,2
2020-01-06,MX106,1002,67
2020-01-06,MX106,1003,12
2020-01-06,MX106,1004,44
2020-01-06,MX107,1000,23
2020-01-06,MX107,1001,2
2020-01-06,MX107,1002,38
2020-01-06,MX107,1003,19
2020-01-06,MX107,1004,2
2020-01-06,CO108,1000,35
2020-01-06,CO108,1001,20
2020-01-06,CO108,1003,35
2020-01-06,CO108,1004,22
2020-01-06,EC109,1000,41
2020-01-06,EC109,1001,14
2020-01-06,EC109,1003,22
2020-01-06,EC109,1004,60
2020-01-06,EC110,1000,9
2020-01-06,EC110,1001,12
2020-01-06,EC110,1002,10
2020-01-06,EC110,1003,54
2020-01-06,EC110,1004,61
2020-01-06,CA111,1000,40
2020-01-06,CA111,1001,34
2020-01-06,CA111,1002,58
2020-01-06,CA111,1003,9
2020-01-06,CA111,1004,52
2020-01-06,CO112,1000,14
2020-01-06,CO112,1001,14
2020-01-06,CO112,1003,26
2020-01-06,CO112,1004,30
2020-01-06,CO113,1000,4
2020-01-06,CO113,1001,7
2020-01-06,CO113,1002,37
2020-01-06,CO113,1003,21
2020-01-06,CO113,1004,26
2020-01-06,PE114,1000,15
2020-01-06,PE114,1001,30
2020-01-06,PE114,1002,16
2020-01-06,PE114,1003,22
2020-01-06,PE114,1004,7
2020-01-06,EC115,1000,18
2020-01-06,EC115,1001,17
2020-01-06,EC115,1003,19
2020-01-06,EC115,1004,9
2020-01-06,CO116,1000,16
2020-01-06,CO116,1001,10
2020-01-06,CO116,1002,26
2020-01-06,CO116,1003,8
2020-01-06,CO116,1004,11
2020-01-06,MX117,1000,23
2020-01-06,MX117,1002,9
2020-01-06,MX117,1003,17
2020-01-06,MX117,1004,17
2020-01-06,EC118,1000,3
2020-01-06,EC118,1001,16
2020-01-06,EC118,1002,2
2020-01-06,EC118,1004,8
2020-01-06,CA119,1000,7
2020-01-06,CA119,1001,13
2020-01-06,CA119,1002,21
2020-01-06,CA119,1003,22
2020-01-06,CA119,1004,32
2020-01-07,US100,1000,33
2020-01-07,US100,1001,24
2020-01-07,US100,1002,8
2020-01-07,US100,1003,106
2020-01-07,US100,1004,12
2020-01-07,PE101,1000,19
2020-01-07,PE101,1001,27
2020-01-07,PE101,1002,36
2020-01-07,PE101,1003,47
2020-01-07,PE101,1004,83
2020-01-07,CO102,1000,24
2020-01-07,CO102,1001,37
2020-01-07,CO102,1002,85
2020-01-07,CO102,1003,22
2020-01-07,CO102,1004,33
2020-01-07,CO103,1000,16
2020-01-07,CO103,1001,3
2020-01-07,CO103,1002,38
2020-01-07,CO103,1003,8
2020-01-07,CO103,1004,38
2020-01-07,CO104,1000,45
2020-01-07,CO104,1001,16
2020-01-07,CO104,1002,9
2020-01-07,CO104,1003,44
2020-01-07,CO104,1004,45
2020-01-07,CA105,1000,68
2020-01-07,CA105,1001,33
2020-01-07,CA105,1002,10
2020-01-07,CA105,1003,52
2020-01-07,CA105,1004,70
2020-01-07,MX106,1000,31
2020-01-07,MX106,1001,28
2020-01-07,MX106,1002,17
2020-01-07,MX106,1003,21
2020-01-07,MX106,1004,45
2020-01-07,MX107,1000,11
2020-01-07,MX107,1001,3
2020-01-07,MX107,1002,40
2020-01-07,MX107,1003,36
2020-01-07,MX107,1004,32
2020-01-07,CO108,1000,36
2020-01-07,CO108,1001,6
2020-01-07,CO108,1002,47
2020-01-07,CO108,1003,33
2020-01-07,CO108,1004,50
2020-01-07,EC109,1000,47
2020-01-07,EC109,1001,33
2020-01-07,EC109,1003,36
2020-01-07,EC109,1004,8
2020-01-07,EC110,1000,47
2020-01-07,EC110,1001,28
2020-01-07,EC110,1002,51
2020-01-07,EC110,1003,61
2020-01-07,EC110,1004,34
2020-01-07,CA111,1000,73
2020-01-07,CA111,1001,5
2020-01-07,CA111,1002,115
2020-01-07,CA111,1003,96
2020-01-07,CA111,1004,130
2020-01-07,CO112,1000,24
2020-01-07,CO112,1001,19
2020-01-07,CO112,1003,18
2020-01-07,CO112,1004,1
2020-01-07,CO113,1000,15
2020-01-07,CO113,1001,13
2020-01-07,CO113,1002,22
2020-01-07,CO113,1003,7
2020-01-07,CO113,1004,26
2020-01-07,PE114,1000,14
2020-01-07,PE114,1001,14
2020-01-07,PE114,1002,40
2020-01-07,PE114,1003,44
2020-01-07,PE114,1004,12
2020-01-07,EC115,1000,42
2020-01-07,EC115,1001,6
2020-01-07,EC115,1004,51
2020-01-07,CO116,1000,14
2020-01-07,CO116,1001,6
2020-01-07,CO116,1003,27
2020-01-07,CO116,1004,15
2020-01-07,MX117,1000,12
2020-01-07,MX117,1002,31
2020-01-07,MX117,1003,5
2020-01-07,MX117,1004,9
2020-01-07,EC118,1000,4
2020-01-07,EC118,1001,17
2020-01-07,EC118,1002,5
2020-01-07,EC118,1003,9
2020-01-07,EC118,1004,20
2020-01-07,CA119,1000,7
2020-01-07,CA119,1001,13
2020-01-07,CA119,1002,9
2020-01-07,CA119,1003,23
2020-01-07,CA119,1004,36
2020-01-08,US100,1000,21
2020-01-08,US100,1001,68
2020-01-08,US100,1002,6
2020-01-08,US100,1003,93
2020-01-08,US100,1004,128
2020-01-08,PE101,1000,32
2020-01-08,PE101,1001,17
2020-01-08,PE101,1002,55
2020-01-08,PE101,1003,10
2020-01-08,PE101,1004,31
2020-01-08,CO102,1000,56
2020-01-08,CO102,1001,24
2020-01-08,CO102,1002,49
2020-01-08,CO102,1003,36
2020-01-08,CO102,1004,78
2020-01-08,CO103,1000,5
2020-01-08,CO103,1001,12
2020-01-08,CO103,1002,13
2020-01-08,CO103,1003,31
2020-01-08,CO103,1004,23
2020-01-08,CO104,1000,17
2020-01-08,CO104,1001,14
2020-01-08,CO104,1002,12
2020-01-08,CO104,1003,13
2020-01-08,CO104,1004,41
2020-01-08,CA105,1000,3
2020-01-08,CA105,1001,37
2020-01-08,CA105,1002,12
2020-01-08,CA105,1003,4
2020-01-08,CA105,1004,52
2020-01-08,MX106,1001,6
2020-01-08,MX106,1002,37
2020-01-08,MX106,1003,11
2020-01-08,MX106,1004,44
2020-01-08,MX107,1000,26
2020-01-08,MX107,1002,11
2020-01-08,MX107,1003,10
2020-01-08,MX107,1004,31
2020-01-08,CO108,1001,23
2020-01-08,CO108,1002,6
2020-01-08,CO108,1003,24
2020-01-08,CO108,1004,39
2020-01-08,EC109,1000,26
2020-01-08,EC109,1001,3
2020-01-08,EC109,1002,3
2020-01-08,EC109,1003,56
2020-01-08,EC109,1004,54
2020-01-08,EC110,1000,40
2020-01-08,EC110,1001,20
2020-01-08,EC110,1002,62
2020-01-08,EC110,1003,26
2020-01-08,EC110,1004,35
2020-01-08,CA111,1000,44
2020-01-08,CA111,1001,28
2020-01-08,CA111,1002,133
2020-01-08,CA111,1003,76
2020-01-08,CA111,1004,138
2020-01-08,CO112,1000,21
2020-01-08,CO112,1001,8
2020-01-08,CO112,1004,9
2020-01-08,CO113,1000,16
2020-01-08,CO113,1002,35
2020-01-08,CO113,1003,5
2020-01-08,CO113,1004,24
2020-01-08,PE114,1000,35
2020-01-08,PE114,1001,13
2020-01-08,PE114,1002,69
2020-01-08,PE114,1003,36
2020-01-08,PE114,1004,27
2020-01-08,EC115,1000,1
2020-01-08,EC115,1001,24
2020-01-08,EC115,1004,22
2020-01-08,CO116,1000,12
2020-01-08,CO116,1001,19
2020-01-08,CO116,1003,19
2020-01-08,CO116,1004,34
2020-01-08,MX117,1000,23
2020-01-08,MX117,1001,2
2020-01-08,MX117,1004,30
2020-01-08,EC118,1000,14
2020-01-08,EC118,1001,18
2020-01-08,EC118,1002,31
2020-01-08,EC118,1003,4
2020-01-08,CA119,1000,21
2020-01-08,CA119,1001,10
2020-01-08,CA119,1002,12
2020-01-08,CA119,1003,12
2020-01-08,CA119,1004,39
2020-01-09,US100,1000,75
2020-01-09,US100,1001,25
2020-01-09,US100,1002,87
2020-01-09,US100,1003,15
2020-01-09,US100,1004,26
2020-01-09,PE101,1000,22
2020-01-09,PE101,1001,5
2020-01-09,PE101,1002,79
2020-01-09,PE101,1003,14
2020-01-09,PE101,1004,26
2020-01-09,CO102,1000,20
2020-01-09,CO102,1001,18
2020-01-09,CO102,1002,43
2020-01-09,CO102,1003,26
2020-01-09,CO102,1004,34
2020-01-09,CO103,1000,8
2020-01-09,CO103,1001,15
2020-01-09,CO103,1002,38
2020-01-09,CO103,1003,19
2020-01-09,CO103,1004,35
2020-01-09,CO104,1000,7
2020-01-09,CO104,1001,4
2020-01-09,CO104,1002,35
2020-01-09,CO104,1003,37
2020-01-09,CO104,1004,24
2020-01-09,CA105,1000,2
2020-01-09,CA105,1001,32
2020-01-09,CA105,1002,86
2020-01-09,CA105,1003,53
2020-01-09,CA105,1004,62
2020-01-09,MX106,1001,8
2020-01-09,MX106,1002,36
2020-01-09,MX106,1003,24
2020-01-09,MX106,1004,44
2020-01-09,MX107,1000,4
2020-01-09,MX107,1001,14
2020-01-09,MX107,1002,17
2020-01-09,MX107,1004,19
2020-01-09,CO108,1000,20
2020-01-09,CO108,1001,29
2020-01-09,CO108,1003,29
2020-01-09,CO108,1004,40
2020-01-09,EC109,1000,45
2020-01-09,EC109,1002,24
2020-01-09,EC109,1003,11
2020-01-09,EC109,1004,15
2020-01-09,EC110,1000,23
2020-01-09,EC110,1001,7
2020-01-09,EC110,1002,61
2020-01-09,EC110,1003,31
2020-01-09,EC110,1004,27
2020-01-09,CA111,1000,56
2020-01-09,CA111,1001,18
2020-01-09,CA111,1002,132
2020-01-09,CA111,1003,66
2020-01-09,CO112,1001,14
2020-01-09,CO112,1002,7
2020-01-09,CO112,1003,23
2020-01-09,CO112,1004,38
2020-01-09,CO113,1000,25
2020-01-09,CO113,1001,10
2020-01-09,CO113,1002,17
2020-01-09,CO113,1003,4
2020-01-09,CO113,1004,28
2020-01-09,PE114,1000,2
2020-01-09,PE114,1001,16
2020-01-09,PE114,1002,32
2020-01-09,PE114,1003,57
2020-01-09,PE114,1004,60
2020-01-09,EC115,1000,34
2020-01-09,EC115,1003,17
2020-01-09,EC115,1004,48
2020-01-09,CO116,1000,25
2020-01-09,CO116,1001,26
2020-01-09,CO116,1003,32
2020-01-09,CO116,1004,55
2020-01-09,MX117,1000,27
2020-01-09,MX117,1001,20
2020-01-09,MX117,1002,19
2020-01-09,MX117,1003,20
2020-01-09,MX117,1004,19
2020-01-09,EC118,1000,5
2020-01-09,EC118,1001,4
2020-01-09,EC118,1002,27
2020-01-09,EC118,1003,7
2020-01-09,CA119,1000,7
2020-01-09,CA119,1001,3
2020-01-09,CA119,1002,30
2020-01-09,CA119,1003,7
2020-01-09,CA119,1004,20
2020-01-10,US100,1000,79
2020-01-10,US100,1001,78
2020-01-10,US100,1002,37
2020-01-10,US100,1003,53
2020-01-10,US100,1004,75
2020-01-10,PE101,1001,24
2020-01-10,PE101,1002,33
2020-01-10,PE101,1003,64
2020-01-10,PE101,1004,31
2020-01-10,CO102,1000,51
2020-01-10,CO102,1001,41
2020-01-10,CO102,1002,82
2020-01-10,CO102,1003,13
2020-01-10,CO102,1004,69
2020-01-10,CO103,1000,18
2020-01-10,CO103,1001,19
2020-01-10,CO103,1002,13
2020-01-10,CO103,1003,4
2020-01-10,CO103,1004,2
2020-01-10,CO104,1000,46
2020-01-10,CO104,1002,68
2020-01-10,CO104,1003,59
2020-01-10,CO104,1004,8
2020-01-10,CA105,1000,69
2020-01-10,CA105,1001,32
2020-01-10,CA105,1002,94
2020-01-10,CA105,1003,9
2020-01-10,CA105,1004,63
2020-01-10,MX106,1001,4
2020-01-10,MX106,1002,4
2020-01-10,MX106,1003,35
